;client;client_id;f_nac;edad;ingr_liquido;comuna;comuna_id;ciudad;ciudad_id;region;gse;gse_id;prof;prof_id;genero;cond_civ;antig_client;auto_marca;auto;auto_marca_id;period_fabr;auto_tasacion;auto_tot_tas;num_auto;p_avaluo_total;dconsumo;lincred;dhipotecario;num_Inst
40852;225172586;1801360;30-08-1979;36;1242299;QUINTA NORMAL;227;SANTIAGO;44;13;D;4.0;INGENIERO;1.0;1;1;0;SSANGYONG;1;103.0;2011.0;7726666.0;10886666.0;2.0;;3533000.0;6116000.0;46900000.0;2.0
30205;87184211;697453;13-02-1986;30;592575;SANTIAGO;271;SANTIAGO;44;13;C2;2.0;;;1;1;0;SUZUKI;1;105.0;2013.0;3870000.0;3870000.0;1.0;;6455000.0;22461000.0;16317000.0;2.0
7884;15651086;125188;27-04-1965;51;1352910;PENALOLEN;187;SANTIAGO;44;13;ABC1;1.0;;;1;3;3;;0;;;;;;180482928.0;29784000.0;13672000.0;189701000.0;3.0
8823;17497836;139962;09-09-1973;42;2349087;IQUIQUE;99;IQUIQUE;21;1;C2;2.0;;;1;1;4;;0;;;;;;27767423.0;2975000.0;6808000.0;79933000.0;1.0
44530;266174711;2129377;30-07-1969;46;2017120;MACUL;144;SANTIAGO;44;13;ABC1;1.0;;;1;1;0;;0;;;;;;26002023.0;6657000.0;11180000.0;51054000.0;1.0
56157;823051086;6584388;22-02-1988;28;1528540;LA FLORIDA;106;SANTIAGO;44;13;C3;3.0;;;1;1;1;;0;;;;;;;5998000.0;13019000.0;19137000.0;4.0
12987;25626961;204995;08-09-1972;43;1100000;PUERTO MONTT;208;PUERTO MONTT;34;10;;;;;2;1;8;NISSAN;1;81.0;2002.0;2590000.0;2590000.0;1.0;;130000.0;2856000.0;28231000.0;1.0
100;197211;1557;05-06-1975;40;741281;OSORNO;172;OSORNO;29;10;C2;2.0;;;2;1;10;SUZUKI;1;105.0;2011.0;6780000.0;11491538.0;2.0;;21374000.0;11180000.0;48944000.0;2.0
49814;484732711;3877841;09-12-1967;48;569718;ALTO HOSPICIO;4;IQUIQUE;21;1;;;MECANICO;2.0;1;2;0;;0;;;;;;;10210000.0;1961000.0;0.0;2.0
41910;240647211;1925157;12-12-1970;45;2209446;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;INGENIERO;1.0;1;3;0;KIA MOTORS;1;58.0;2006.0;4272000.0;4272000.0;1.0;39356925.0;32213000.0;54338000.0;49509000.0;4.0
56563;882774211;7062173;24-01-1982;34;1141790;ARICA;10;ARICA;3;15;C3;3.0;;;2;1;0;CHERY;1;17.0;2012.0;3553333.0;3553333.0;2.0;;7501000.0;9246000.0;0.0;2.0
24757;81317461;650519;26-04-1964;52;1798209;ANTOFAGASTA;8;ANTOFAGASTA;2;2;C2;2.0;CONTADOR;1.0;1;3;0;CHEVROLET;1;18.0;1999.0;2608750.0;2608750.0;3.0;53146586.0;1058000.0;7603000.0;155800000.0;1.0
16259;32111586;256872;06-03-1966;50;973196;LOS ANGELES;136;LOS ANGELES;26;8;ABC1;1.0;ANALISTA;1.0;1;3;0;MITSUBISHI;1;77.0;1994.0;1260000.0;1260000.0;1.0;4692744.0;31135000.0;9959000.0;77336000.0;3.0
55067;746513336;5972086;07-09-1977;38;1516062;ANTOFAGASTA;8;ANTOFAGASTA;2;2;ABC1;1.0;SUPERVISOR;2.0;2;1;0;;0;;;;;;32312292.0;15233000.0;2934000.0;49918000.0;4.0
46292;320020586;2560144;23-09-1982;33;1432676;LA PINTANA;110;SANTIAGO;44;13;C3;3.0;;;1;1;0;BMW;1;12.0;2011.0;17980000.0;17980000.0;3.0;;66354000.0;21816000.0;103965000.0;3.0
37770;151424961;1211379;10-03-1970;46;681965;PENALOLEN;187;SANTIAGO;44;13;C3;3.0;EMPLEADO;3.0;1;1;1;;0;;;;;;;4124000.0;2941000.0;0.0;3.0
40291;220482836;1763842;04-03-1979;37;1535992;COQUIMBO;58;COQUIMBO;16;4;C2;2.0;INGENIERO;1.0;2;1;0;;0;;;;;;;9517000.0;10602000.0;13360000.0;2.0
13929;27401211;219189;25-07-1973;42;1261771;COYHAIQUE;60;COYHAIQUE;17;11;;;EMPLEADO;3.0;2;2;4;;0;;;;;;;8632000.0;8726000.0;59813000.0;1.0
8414;16705086;133620;01-02-1953;63;750000;VALPARAISO;291;VALPARAISO;51;5;C3;3.0;EMPLEADO;3.0;1;3;3;MITSUBISHI;1;77.0;1980.0;430000.0;430000.0;3.0;41360003.0;7400000.0;6044000.0;41234000.0;4.0
46830;345609461;2764855;21-10-1981;34;898491;CORONEL;59;CONCEPCION;14;8;C3;3.0;;;1;1;0;HYUNDAI;1;44.0;2004.0;2520000.0;2520000.0;1.0;;9965000.0;2138000.0;0.0;2.0
25999;82837961;662683;30-06-1969;46;516900;SANTIAGO;271;SANTIAGO;44;13;C3;3.0;;;2;2;1;TOYOTA;1;109.0;2004.0;2406666.0;2406666.0;2.0;27532861.0;59000.0;5859000.0;25346000.0;1.0
54185;691604961;5532819;06-05-1989;27;525952;PUENTE ALTO;207;PUENTE ALTO;33;13;D;4.0;;;1;1;0;;0;;;;;;;5097000.0;1681000.0;22063000.0;1.0
49357;464616336;3716910;13-09-1983;32;737256;MAIPU;146;SANTIAGO;44;13;;;;;2;2;0;;0;;;;;;;4983000.0;18063000.0;0.0;2.0
16143;31969086;255732;03-10-1978;37;2420669;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;1;2;4;SUZUKI;1;105.0;2011.0;4310000.0;4310000.0;1.0;33441232.0;20013000.0;18398000.0;0.0;1.0
56499;877621086;7020948;24-09-1984;31;1154255;VALPARAISO;291;VALPARAISO;51;5;C3;3.0;;;1;1;0;NISSAN;1;81.0;1991.0;780000.0;780000.0;1.0;;0.0;1520000.0;63749000.0;0.0
29772;86539961;692299;23-02-1984;32;813567;QUILPUE;224;VALPARAISO;51;5;C2;2.0;MATRONA;1.0;2;2;0;FORD;1;29.0;2011.0;8505000.0;8505000.0;1.0;21405938.0;555000.0;1542000.0;46544000.0;2.0
2689;5198211;41565;21-09-1967;48;1708181;PUDAHUEL;206;SANTIAGO;44;13;D;4.0;INGENIERO;1.0;1;2;4;SUZUKI;1;105.0;1978.0;50000.0;50000.0;1.0;18608417.0;13849000.0;5809000.0;28713000.0;2.0
46362;323503961;2588011;12-08-1985;30;800000;QUINTA NORMAL;227;SANTIAGO;44;13;C3;3.0;;;1;1;0;;0;;;;;;;74000.0;4651000.0;0.0;1.0
11186;22038961;176291;22-12-1967;48;1545519;PROVIDENCIA;203;SANTIAGO;44;13;ABC1;1.0;;;1;3;0;DAIHATSU;1;23.0;1987.0;486666.0;486666.0;2.0;53768691.0;7516000.0;24071000.0;85915000.0;1.0
38367;180078086;1440604;11-02-1960;56;604700;PUENTE ALTO;207;PUENTE ALTO;33;13;C3;3.0;ARSENALERA;1.0;2;3;0;KIA MOTORS;1;58.0;2008.0;2788571.0;2788571.0;1.0;;1173000.0;3675000.0;33369000.0;2.0
43026;250619461;2004935;13-10-1973;42;2171750;PROVIDENCIA;203;SANTIAGO;44;13;ABC1;1.0;DIBUJANTE;2.0;1;1;0;MAZDA;1;72.0;2008.0;4103333.0;6263333.0;2.0;;15072000.0;6573000.0;6570000.0;2.0
7624;15055836;120426;23-12-1970;45;1800000;PROVIDENCIA;203;SANTIAGO;44;13;ABC1;1.0;;;1;2;12;SUZUKI;1;105.0;2002.0;4105714.0;4105714.0;1.0;;14505000.0;11868000.0;50061000.0;3.0
54771;728430086;5827420;21-05-1984;32;720000;INDEPENDENCIA;98;SANTIAGO;44;13;C3;3.0;;;2;1;0;;0;;;;;;;1113000.0;672000.0;36624000.0;2.0
32056;102841461;822711;09-07-1976;39;847915;ANGOL;7;ANGOL;1;9;;;;;1;1;6;VOLVO;1;114.0;2005.0;5080000.0;5495000.0;2.0;25440924.0;1066000.0;9358000.0;42236000.0;1.0
48319;415713211;3325685;01-02-1979;37;1765765;ANTOFAGASTA;8;ANTOFAGASTA;2;2;;;;;1;1;0;NISSAN;1;81.0;2012.0;8714000.0;8714000.0;1.0;;0.0;2404000.0;0.0;0.0
32062;102900711;823185;02-12-1973;42;1444119;IQUIQUE;99;IQUIQUE;21;1;OTRO;7.0;AGENTE;2.0;2;1;0;CHEVROLET;1;18.0;2013.0;8220000.0;8220000.0;1.0;2985617.0;1815000.0;12582000.0;63680000.0;2.0
27742;84555211;676421;09-08-1976;39;2000000;VINA DEL MAR;298;VALPARAISO;51;5;ABC1;1.0;;;1;1;0;SUZUKI;1;105.0;2007.0;3590000.0;3590000.0;1.0;55942095.0;3442000.0;7659000.0;27735000.0;1.0
15043;29533211;236245;20-03-1963;53;2343043;LA FLORIDA;106;SANTIAGO;44;13;ABC1;1.0;ANALISTA;1.0;1;2;8;HONDA;1;41.0;1996.0;2390000.0;2390000.0;2.0;49014405.0;36393000.0;69778000.0;58482000.0;3.0
18619;37412086;299276;15-07-1953;62;2598000;TALCA;276;TALCA;46;7;ABC1;1.0;CONTADOR;1.0;1;3;0;SAMSUNG;1;95.0;2012.0;7970000.0;7970000.0;1.0;191279095.0;62522000.0;14418000.0;93211000.0;3.0
21902;76901336;615190;24-07-1982;33;1467272;EL BOSQUE;70;SANTIAGO;44;13;C3;3.0;;;2;1;0;HYUNDAI;1;44.0;2007.0;3253333.0;3253333.0;1.0;26315087.0;19969000.0;7893000.0;91006000.0;2.0
27009;83917336;671318;28-12-1976;39;847713;VILLARRICA;297;TEMUCO;47;9;;;MEDICO;1.0;1;1;0;FORD;1;29.0;2003.0;4180000.0;4180000.0;1.0;;1646000.0;5164000.0;40268000.0;2.0
31974;102124211;816973;07-12-1977;38;1121625;SANTIAGO;271;SANTIAGO;44;13;C2;2.0;;;1;2;1;;0;;;;;;30594785.0;3488000.0;19377000.0;48647000.0;2.0
36932;143875586;1150984;12-03-1967;49;648097;VICTORIA;292;ANGOL;1;9;;;SIN ACTIVIDAD;3.0;1;1;0;MAZDA;1;72.0;2011.0;5596666.0;5856666.0;2.0;715833.0;5931000.0;8653000.0;23149000.0;3.0
8140;16147461;129159;05-04-1974;42;1922300;SANTIAGO;271;SANTIAGO;44;13;C2;2.0;EMPLEADO;3.0;1;1;0;;0;;;;;;41318000.0;12671000.0;7575000.0;45150000.0;1.0
42029;242239211;1937893;16-04-1971;45;561701;LA FLORIDA;106;SANTIAGO;44;13;C3;3.0;;;2;1;0;CHEVROLET;1;18.0;2013.0;4630000.0;8260000.0;2.0;;8823000.0;3694000.0;26950000.0;2.0
13476;26559461;212455;29-12-1957;58;3750705;MAIPU;146;SANTIAGO;44;13;C2;2.0;EMPLEADO;3.0;1;3;0;PEUGEOT;1;85.0;2012.0;9310000.0;11612222.0;2.0;90939336.0;37652000.0;33925000.0;174917000.0;4.0
52381;600633961;4805051;16-09-1974;41;4141577;LA SERENA;112;COQUIMBO;16;4;C2;2.0;ABOGADO;1.0;1;1;0;NISSAN;1;81.0;1997.0;1320000.0;1320000.0;2.0;31184081.0;31000000.0;5097000.0;130113000.0;2.0
30852;92475586;739784;24-02-1978;38;2597957;NUNOA;169;SANTIAGO;44;13;ABC1;1.0;MEDICO;1.0;1;2;0;SUZUKI;1;105.0;2010.0;7092222.0;7092222.0;1.0;;14950000.0;12830000.0;58535000.0;3.0
13014;25685711;205465;11-10-1967;48;2428296;PENALOLEN;187;SANTIAGO;44;13;ABC1;1.0;;;1;3;9;;0;;;;;;67812914.0;21647000.0;43110000.0;136250000.0;4.0
52951;626699586;5013576;23-01-1978;38;521500;TALCA;276;TALCA;46;7;;;;;2;2;0;HYUNDAI;1;44.0;2010.0;5236666.0;5236666.0;1.0;;1080000.0;6816000.0;20273000.0;3.0
13073;25792336;206318;23-09-1963;52;1996725;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;MEDICO;1.0;1;2;2;;0;;;;;;;33013000.0;26197000.0;136959000.0;1.0
5673;11154961;89219;05-11-1974;41;1849025;MAIPU;146;SANTIAGO;44;13;C2;2.0;;;2;1;11;;0;;;;;;24183548.0;24417000.0;15471000.0;21700000.0;5.0
56932;927043211;7416325;25-03-1983;33;685910;RENCA;234;SANTIAGO;44;13;C3;3.0;;;1;1;0;;0;;;;;;;6653000.0;1926000.0;27333000.0;1.0
1505;2927336;23398;15-11-1973;42;819679;PROVIDENCIA;203;SANTIAGO;44;13;ABC1;1.0;;;2;1;13;;0;;;;;;;0.0;1400000.0;0.0;0.0
3121;5983711;47849;18-06-1969;46;12273586;NUNOA;169;SANTIAGO;44;13;ABC1;1.0;MEDICO;1.0;1;3;9;;0;;;;;;126671764.0;29228000.0;19283000.0;212238000.0;3.0
26469;83355211;666821;24-10-1974;41;1855728;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;1;1;0;MAZDA;1;72.0;2004.0;3419090.0;3419090.0;3.0;31975204.0;3793000.0;22635000.0;83006000.0;2.0
45652;288287586;2306280;16-01-1988;28;560000;QUILICURA;221;SANTIAGO;44;13;C3;3.0;;;2;1;0;CHEVROLET;1;18.0;2005.0;1980000.0;1980000.0;1.0;;79000.0;322000.0;23811000.0;1.0
56759;912691836;7301514;29-12-1981;34;1254919;PUENTE ALTO;207;PUENTE ALTO;33;13;C2;2.0;;;1;1;0;;0;;;;;;;319000.0;2108000.0;33360000.0;2.0
34746;125489086;1003892;06-07-1970;45;1500000;TEMUCO;278;TEMUCO;47;9;D;4.0;;;1;1;8;;0;;;;;;14739320.0;8862000.0;24536000.0;89440000.0;4.0
9307;18352461;146799;20-06-1973;42;1655376;IQUIQUE;99;IQUIQUE;21;1;C3;3.0;;;2;3;1;;0;;;;;;40244229.0;14968000.0;11362000.0;26925000.0;3.0
52647;612935336;4903462;11-10-1983;32;783000;SAN RAMON;264;SANTIAGO;44;13;D;4.0;;;2;1;0;;0;;;;;;;217000.0;6113000.0;51736000.0;1.0
45051;273899961;2191179;29-04-1983;33;2056388;LAS CONDES;119;SANTIAGO;44;13;C2;2.0;CONSTRUCTOR CIVIL;1.0;1;1;0;;0;;;;;;44538611.0;19173000.0;8555000.0;63210000.0;2.0
37831;152112336;1216878;06-03-1976;40;3660606;LA REINA;111;SANTIAGO;44;13;ABC1;1.0;DENTISTA;1.0;1;2;0;;0;;;;;;185282801.0;17534000.0;37941000.0;67448000.0;3.0
27705;84528586;676208;08-07-1977;38;2232874;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;1;2;1;;0;;;;;;;17593000.0;13164000.0;0.0;2.0
53685;665087836;5320682;28-11-1985;30;713650;ESTACION CENTRAL;77;SANTIAGO;44;13;C3;3.0;;;1;1;0;PEUGEOT;1;85.0;2005.0;3220000.0;3220000.0;1.0;;3862000.0;10780000.0;0.0;2.0
42725;247222461;1977759;01-03-1982;34;967175;LO PRADO;130;SANTIAGO;44;13;C3;3.0;;;2;1;0;HYUNDAI;1;44.0;2010.0;3376666.0;3376666.0;1.0;;8000.0;3246000.0;0.0;1.0
6017;11835336;94662;24-03-1981;35;1051800;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;2;2;0;;0;;;;;;;10060000.0;1363000.0;102856000.0;1.0
14188;27882961;223043;03-02-1974;42;2061468;SAN JOAQUIN;255;SANTIAGO;44;13;C2;2.0;;;2;1;4;;0;;;;;;30444780.0;956000.0;12059000.0;44488000.0;1.0
47155;361226711;2889793;30-09-1971;44;5334699;IQUIQUE;99;IQUIQUE;21;1;C2;2.0;SOCIOLOGO;1.0;1;2;0;;0;;;;;;;14064000.0;6540000.0;0.0;3.0
28287;85034211;680253;26-11-1981;34;2309253;CONSTITUCION;56;TALCA;46;7;;;;;1;1;0;;0;;;;;;45031398.0;3896000.0;19952000.0;47981000.0;2.0
19619;49625961;396987;25-11-1970;45;491193;NUNOA;169;SANTIAGO;44;13;ABC1;1.0;SECRETARIA;1.0;2;1;11;CHERY;1;17.0;2009.0;2420000.0;2420000.0;1.0;;16484000.0;10777000.0;0.0;2.0
41820;239155461;1913223;08-06-1981;34;997314;LA FLORIDA;106;SANTIAGO;44;13;C2;2.0;;;2;1;0;CHEVROLET;1;18.0;2012.0;5742000.0;5742000.0;1.0;20334964.0;3150000.0;14568000.0;20983000.0;2.0
18009;36712711;293681;15-04-1975;41;5034669;SAN FERNANDO;252;SAN FERNANDO;43;6;D;4.0;ABOGADO;1.0;1;1;2;SUZUKI;1;105.0;2010.0;6860000.0;6860000.0;2.0;12967471.0;3329000.0;5753000.0;0.0;1.0
41512;235409961;1883259;26-12-1980;35;668398;LAMPA;116;COLINA;13;13;;;;;1;1;0;KIA MOTORS;1;58.0;2010.0;3550000.0;3550000.0;3.0;13775749.0;12018000.0;6267000.0;29558000.0;2.0
16448;32507461;260039;10-02-1977;39;1649674;PUENTE ALTO;207;PUENTE ALTO;33;13;C2;2.0;;;1;3;3;;0;;;;;;42898944.0;51715000.0;14013000.0;185518000.0;2.0
44067;262249086;2097972;27-05-1980;35;820964;LA GRANJA;107;SANTIAGO;44;13;C3;3.0;;;1;1;0;;0;;;;;;17205980.0;267000.0;2861000.0;21908000.0;1.0
5780;11350711;90785;21-04-1976;40;3120078;ANTOFAGASTA;8;ANTOFAGASTA;2;2;C3;3.0;;;1;3;3;;0;;;;;;61379995.0;2708000.0;39506000.0;163361000.0;1.0
16122;31871461;254951;17-09-1976;39;738013;VINA DEL MAR;298;VALPARAISO;51;5;;;;;2;1;4;;0;;;;;;18728531.0;25387000.0;22515000.0;44981000.0;3.0
23468;79290461;634303;30-07-1952;63;706306;SANTIAGO;271;SANTIAGO;44;13;C3;3.0;EMPLEADO;3.0;1;2;1;;0;;;;;;21542631.0;14034000.0;1001000.0;15141000.0;5.0
20636;68457711;547641;15-08-1977;38;639865;VINA DEL MAR;298;VALPARAISO;51;5;C2;2.0;;;2;1;4;HYUNDAI;1;44.0;2013.0;6047500.0;6047500.0;1.0;;3318000.0;9401000.0;33994000.0;2.0
11923;23522836;188162;12-08-1974;41;3255980;RANCAGUA;230;RANCAGUA;39;6;ABC1;1.0;;;1;2;4;VOLKSWAGEN;1;113.0;2012.0;4885000.0;4885000.0;1.0;76338041.0;46068000.0;23906000.0;0.0;3.0
13579;26752461;213999;07-07-1956;59;1200000;COPIAPO;57;COPIAPO;15;3;C3;3.0;TECNICO;3.0;1;2;14;HYUNDAI;1;44.0;2009.0;7700000.0;10148750.0;2.0;24815647.0;6198000.0;1149000.0;51056000.0;3.0
47574;381411211;3051269;30-11-1967;48;1613744;SAN JOAQUIN;255;SANTIAGO;44;13;ND;6.0;CONTADOR;1.0;1;3;0;RENAULT;1;91.0;1981.0;310000.0;3170000.0;2.0;20057339.0;16025000.0;4764000.0;23312000.0;3.0
53660;663857836;5310842;23-08-1983;32;1180423;EL BOSQUE;70;SANTIAGO;44;13;D;4.0;;;1;1;0;KIA MOTORS;1;58.0;2006.0;2456000.0;2456000.0;1.0;;609000.0;4844000.0;0.0;2.0
41895;239850086;1918780;31-07-1952;63;1028276;PUENTE ALTO;207;PUENTE ALTO;33;13;C3;3.0;TECNICO;3.0;1;2;0;;0;;;;;;;2140000.0;49994000.0;31805000.0;3.0
34448;123001961;983995;02-10-1976;39;2270178;PROVIDENCIA;203;SANTIAGO;44;13;C2;2.0;INGENIERO;1.0;1;2;0;CHEVROLET;1;18.0;2012.0;5145000.0;5145000.0;1.0;18413553.0;56416000.0;13772000.0;43252000.0;3.0
45627;286988461;2295887;07-06-1970;45;2618466;PROVIDENCIA;203;SANTIAGO;44;13;ABC1;1.0;;;2;3;0;;0;;;;;;;164000.0;469000.0;0.0;2.0
33989;119094086;952732;13-07-1963;52;1224254;ANTOFAGASTA;8;ANTOFAGASTA;2;2;D;4.0;OPERARIO;2.0;1;3;0;HYUNDAI;1;44.0;2012.0;5772857.0;8360357.0;2.0;;492000.0;2983000.0;0.0;2.0
43991;261764086;2094092;30-05-1976;39;1295000;CERRO NAVIA;30;SANTIAGO;44;13;D;4.0;;;1;2;0;CHEVROLET;1;18.0;2009.0;3405000.0;3685000.0;2.0;;15751000.0;3437000.0;44838000.0;2.0
45340;277792336;2222318;02-09-1978;37;742380;QUILICURA;221;SANTIAGO;44;13;;;ACTOR;1.0;2;1;0;TOYOTA;1;109.0;2007.0;2860000.0;2860000.0;1.0;;34000.0;18180000.0;75900000.0;1.0
51065;544113336;4352886;01-06-1983;32;3509935;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;1;1;0;AUDI;1;9.0;2009.0;7872000.0;7872000.0;1.0;;5029000.0;15375000.0;92118000.0;2.0
26016;82856836;662834;28-11-1976;39;1471557;MAIPU;146;SANTIAGO;44;13;OTRO;7.0;;;2;2;0;SUZUKI;1;105.0;2004.0;2670000.0;2670000.0;1.0;;4988000.0;9711000.0;39664000.0;3.0
18168;36902586;295200;16-09-1964;51;1410715;LA CISTERNA;103;SANTIAGO;44;13;OTRO;7.0;;;1;3;0;VOLKSWAGEN;1;113.0;2009.0;4505000.0;4505000.0;1.0;22308974.0;2600000.0;1530000.0;3718000.0;1.0
45988;304540086;2436300;30-11-1980;35;1652229;SAN FERNANDO;252;SAN FERNANDO;43;6;D;4.0;;;1;1;0;;0;;;;;;38080706.0;0.0;13266000.0;0.0;0.0
31731;100116961;800915;13-11-1980;35;987576;PROVIDENCIA;203;SANTIAGO;44;13;C2;2.0;;;1;2;0;;0;;;;;;;39081000.0;2217000.0;34044000.0;2.0
1749;3376961;26995;04-05-1980;36;1840844;PENALOLEN;187;SANTIAGO;44;13;ABC1;1.0;;;2;1;4;KIA MOTORS;1;58.0;2012.0;9653333.0;16647618.0;3.0;34961691.0;30605000.0;43351000.0;78685000.0;4.0
16855;34829086;278612;29-10-1971;44;1014858;CONCEPCION;54;CONCEPCION;14;8;C2;2.0;EMPLEADO;3.0;2;2;0;;0;;;;;;35030826.0;6000.0;5946000.0;34928000.0;1.0
11180;22029586;176216;17-09-1972;43;3083947;RANCAGUA;230;RANCAGUA;39;6;;;INGENIERO;1.0;1;2;0;;0;;;;;;51774815.0;52123000.0;5212000.0;86069000.0;1.0
55841;800713961;6405691;31-10-1985;30;1236221;PUENTE ALTO;207;PUENTE ALTO;33;13;C2;2.0;;;1;1;0;;0;;;;;;;1000.0;11443000.0;61936000.0;1.0
35076;128265461;1026103;20-04-1981;35;946385;SAN MIGUEL;257;SANTIAGO;44;13;ABC1;1.0;;;1;1;0;AUDI;1;9.0;2008.0;8590000.0;8850000.0;2.0;;4203000.0;23589000.0;85051000.0;2.0
7704;15252211;121997;30-10-1963;52;1722860;LOS ANGELES;136;LOS ANGELES;26;8;C2;2.0;CONTADOR;1.0;1;2;2;NISSAN;1;81.0;2006.0;2916666.0;3946666.0;3.0;29606845.0;21606000.0;16469000.0;59077000.0;2.0
17468;35994211;287933;22-10-1964;51;1832238;SANTIAGO;271;SANTIAGO;44;13;C2;2.0;DUENA DE CASA;3.0;2;2;1;SUBARU;1;104.0;2005.0;5112500.0;5112500.0;1.0;;16433000.0;1266000.0;88269000.0;1.0
31827;100933461;807447;08-04-1969;47;3777021;LA REINA;111;SANTIAGO;44;13;ABC1;1.0;;;1;3;0;AUDI;1;9.0;2005.0;5850000.0;5850000.0;1.0;81587165.0;32695000.0;41688000.0;0.0;3.0
15708;30923961;247371;18-08-1958;57;6722584;LO BARNECHEA;128;SANTIAGO;44;13;ABC1;1.0;;;1;2;4;MAZDA;1;72.0;2012.0;10130000.0;10130000.0;1.0;108800288.0;30457000.0;9547000.0;98215000.0;2.0
55347;762481461;6099831;07-06-1982;33;465327;PUERTO MONTT;208;PUERTO MONTT;34;10;;;;;2;1;0;;0;;;;;;;889000.0;906000.0;35613000.0;2.0
17407;35900336;287182;22-08-1952;63;486227;CURICO;67;CURICO;18;7;C3;3.0;OFIC ADMINISTRATIV;2.0;2;2;2;;0;;;;;;63111994.0;9360000.0;3643000.0;0.0;3.0
55509;774353336;6194806;11-07-1986;29;570077;NUNOA;169;SANTIAGO;44;13;C2;2.0;;;1;1;0;;0;;;;;;;404000.0;8173000.0;32802000.0;1.0
24972;81574211;652573;14-01-1967;49;2251174;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;EMPLEADO;3.0;1;1;0;HONDA;1;41.0;2009.0;4985000.0;4985000.0;1.0;140048927.0;10639000.0;33469000.0;89784000.0;3.0
45010;273470711;2187745;14-12-1980;35;816429;RECOLETA;232;SANTIAGO;44;13;C3;3.0;EMPLEADO;3.0;1;1;0;;0;;;;;;10876157.0;662000.0;12830000.0;49209000.0;1.0
43948;261368086;2090924;18-10-1970;45;965545;MAIPU;146;SANTIAGO;44;13;ABC1;1.0;;;1;2;0;;0;;;;;;;6620000.0;6178000.0;56444000.0;4.0
46207;315121586;2520952;12-03-1980;36;1172740;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;1;1;0;;0;;;;;;;424000.0;18571000.0;61504000.0;1.0
